===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,TimeReturn,len,timereturn
16,,16,2019-05-22 00:00:00,2867.25,2868.0,2843.5,2847.0,180112.0,0.0,MyStrategy,16,737201.0,Broker,16,19958.372567887498,19959.372567887498,BuySell,16,,,Trades - Net Profit/Loss,16,,,TimeReturn,16,-0.0010010324364312373
17,,17,2019-05-23 00:00:00,2847.0,2848.0,2805.5,2828.0,298481.0,0.0,MyStrategy,17,737202.0,Broker,17,19972.818221987494,19973.818221987494,BuySell,17,,2890.72,Trades - Net Profit/Loss,17,,-26.823003337499745,TimeReturn,17,0.0007237529161230327
18,,18,2019-05-24 00:00:00,2828.0,2842.0,2820.75,2830.75,162073.0,0.0,MyStrategy,18,737203.0,Broker,18,19970.068221987494,19971.068221987494,BuySell,18,,,Trades - Net Profit/Loss,18,,,TimeReturn,18,-0.0001376802356684026
19,,19,2019-05-26 00:00:00,2831.0,2835.0,2826.25,2829.75,6018.0,0.0,MyStrategy,19,737205.0,Broker,19,19971.068221987494,19972.068221987494,BuySell,19,,,Trades - Net Profit/Loss,19,,,TimeReturn,19,5.007243422761043e-05
20,,20,2019-05-27 00:00:00,2829.75,2839.25,2827.5,2838.25,20389.0,0.0,MyStrategy,20,737206.0,Broker,20,19962.568221987494,19963.568221987494,BuySell,20,,,Trades - Net Profit/Loss,20,,,TimeReturn,20,-0.00042559438038780595
21,,21,2019-05-28 00:00:00,2838.0,2841.25,2792.25,2796.0,201873.0,0.0,MyStrategy,21,737207.0,Broker,21,19916.2765705875,19917.2765705875,BuySell,21,2750.36625,,Trades - Net Profit/Loss,21,4.452001350000255,,TimeReturn,21,-0.0023188064821503263
22,,22,2019-05-29 00:00:00,2796.0,2800.0,2766.25,2785.25,296801.0,0.0,MyStrategy,22,737208.0,Broker,22,19922.5538093875,19923.5538093875,BuySell,22,,2841.9999999999995,Trades - Net Profit/Loss,22,,-46.50720629999955,TimeReturn,22,0.00031516551862664777
23,,23,2019-05-30 00:00:00,2785.25,2799.25,2763.5,2773.25,227370.0,0.0,MyStrategy,23,737209.0,Broker,23,19934.5538093875,19935.5538093875,BuySell,23,,,Trades - Net Profit/Loss,23,,,TimeReturn,23,0.0006023021853835964
24,,24,2019-05-31 00:00:00,2773.5,2773.75,2750.0,2752.75,287081.0,0.0,MyStrategy,24,737210.0,Broker,24,19955.0538093875,19956.0538093875,BuySell,24,,,Trades - Net Profit/Loss,24,,,TimeReturn,24,0.001028313544535031
25,,25,2019-06-02 00:00:00,2742.25,2744.25,2732.25,2738.5,22973.0,0.0,MyStrategy,25,737212.0,Broker,25,19969.3038093875,19970.3038093875,BuySell,25,,,Trades - Net Profit/Loss,25,,,TimeReturn,25,0.0007140690306866038
26,,26,2019-06-03 00:00:00,2738.5,2763.75,2728.75,2752.5,409735.0,0.0,MyStrategy,26,737213.0,Broker,26,19955.3038093875,19956.3038093875,BuySell,26,,,Trades - Net Profit/Loss,26,,,TimeReturn,26,-0.0007010409122277794
27,,27,2019-06-04 00:00:00,2752.5,2815.5,2747.5,2812.5,263813.0,0.0,MyStrategy,27,737214.0,Broker,27,19895.3038093875,19896.3038093875,BuySell,27,,,Trades - Net Profit/Loss,27,,,TimeReturn,27,-0.003006568780125285
28,,28,2019-06-05 00:00:00,2812.5,2829.75,2800.75,2826.75,312956.0,0.0,MyStrategy,28,737215.0,Broker,28,19905.0529656375,19906.0529656375,BuySell,28,2758.73875,,Trades - Net Profit/Loss,28,,-20.986802474999685,TimeReturn,28,0.0004899983606703184
29,,29,2019-06-06 00:00:00,2827.0,2853.25,2821.75,2849.75,251492.0,0.0,MyStrategy,29,737216.0,Broker,29,19928.0529656375,19929.0529656375,BuySell,29,,,Trades - Net Profit/Loss,29,,,TimeReturn,29,0.0011554274491132333
30,,30,2019-06-07 00:00:00,2849.5,2886.25,2846.25,2877.75,222354.0,0.0,MyStrategy,30,737217.0,Broker,30,19956.0529656375,19957.0529656375,BuySell,30,,,Trades - Net Profit/Loss,30,,,TimeReturn,30,0.0014049839723080382
31,,31,2019-06-09 00:00:00,2891.0,2900.0,2880.5,2883.25,14731.0,0.0,MyStrategy,31,737219.0,Broker,31,19961.5529656375,19962.5529656375,BuySell,31,,,Trades - Net Profit/Loss,31,,,TimeReturn,31,0.00027559179250924437
32,,32,2019-06-10 00:00:00,2883.25,2905.75,2882.0,2894.75,161140.0,0.0,MyStrategy,32,737220.0,Broker,32,19973.0529656375,19974.0529656375,BuySell,32,,,Trades - Net Profit/Loss,32,,,TimeReturn,32,0.0005760786217972047
33,,33,2019-06-11 00:00:00,2894.75,2911.5,2879.25,2885.75,226380.0,0.0,MyStrategy,33,737221.0,Broker,33,19964.0529656375,19965.0529656375,BuySell,33,,,Trades - Net Profit/Loss,33,,,TimeReturn,33,-0.00045058456666169366
34,,34,2019-06-12 00:00:00,2886.0,2889.75,2867.5,2877.0,180381.0,0.0,MyStrategy,34,737222.0,Broker,34,19955.3029656375,19956.3029656375,BuySell,34,,,Trades - Net Profit/Loss,34,,,TimeReturn,34,-0.0004382658045064547
35,,35,2019-06-13 00:00:00,2877.0,2898.75,2873.75,2896.75,186626.0,0.0,MyStrategy,35,737223.0,Broker,35,19930.950628737497,19931.950628737497,BuySell,35,,2942.23125,Trades - Net Profit/Loss,35,59.94840967500025,,TimeReturn,35,-0.0012202829823707573
36,,36,2019-06-14 00:00:00,2896.75,2898.5,2880.5,2891.75,75236.0,0.0,MyStrategy,36,737224.0,Broker,36,19921.314959712494,19922.314959712494,BuySell,36,2837.2925,,Trades - Net Profit/Loss,36,,-24.369002962499692,TimeReturn,36,-0.0004834283008463558
37,,37,2019-06-16 00:00:00,2891.75,2901.5,2889.5,2899.5,6104.0,0.0,MyStrategy,37,737226.0,Broker,37,19929.064959712494,19930.064959712494,BuySell,37,,,Trades - Net Profit/Loss,37,,,TimeReturn,37,0.00038901101682564665
38,,38,2019-06-17 00:00:00,2899.25,2900.0,2888.75,2892.5,124665.0,0.0,MyStrategy,38,737227.0,Broker,38,19922.064959712494,19923.064959712494,BuySell,38,,,Trades - Net Profit/Loss,38,,,TimeReturn,38,-0.00035122815776822414
39,,39,2019-06-18 00:00:00,2892.75,2933.25,2886.0,2924.5,270139.0,0.0,MyStrategy,39,737228.0,Broker,39,19954.064959712494,19955.064959712494,BuySell,39,,,Trades - Net Profit/Loss,39,,,TimeReturn,39,0.0016061785706520393
40,,40,2019-06-19 00:00:00,2924.25,2942.25,2908.75,2941.5,214471.0,0.0,MyStrategy,40,737229.0,Broker,40,19971.064959712494,19972.064959712494,BuySell,40,,,Trades - Net Profit/Loss,40,,,TimeReturn,40,0.0008519140395844005
41,,41,2019-06-20 00:00:00,2941.5,2961.0,2932.5,2948.75,247865.0,0.0,MyStrategy,41,737230.0,Broker,41,19978.314959712494,19979.314959712494,BuySell,41,,,Trades - Net Profit/Loss,41,,,TimeReturn,41,0.0003630070308016098
42,,42,2019-06-21 00:00:00,2948.75,2966.0,2944.5,2945.0,210998.0,0.0,MyStrategy,42,737231.0,Broker,42,19974.564959712494,19975.564959712494,BuySell,42,,,Trades - Net Profit/Loss,42,,,TimeReturn,42,-0.00018769412302477306
43,,43,2019-06-23 00:00:00,2945.0,2958.25,2941.5,2957.25,10313.0,0.0,MyStrategy,43,737233.0,Broker,43,19986.814959712494,19987.814959712494,BuySell,43,,,Trades - Net Profit/Loss,43,,,TimeReturn,43,0.0006132492384924859
44,,44,2019-06-24 00:00:00,2957.25,2958.25,2941.25,2942.25,162126.0,0.0,MyStrategy,44,737234.0,Broker,44,19971.814959712494,19972.814959712494,BuySell,44,,,Trades - Net Profit/Loss,44,,,TimeReturn,44,-0.0007504572175714985
45,,45,2019-06-25 00:00:00,2942.25,2949.75,2914.25,2920.25,246173.0,0.0,MyStrategy,45,737235.0,Broker,45,19949.814959712494,19950.814959712494,BuySell,45,,,Trades - Net Profit/Loss,45,,,TimeReturn,45,-0.0011014972123046807
46,,46,2019-06-26 00:00:00,2920.25,2935.75,2911.25,2924.5,193419.0,0.0,MyStrategy,46,737236.0,Broker,46,19940.89343578749,19941.89343578749,BuySell,46,,2979.7862499999997,Trades - Net Profit/Loss,46,18.846403524999996,,TimeReturn,46,-0.0004471759145188159
47,,47,2019-06-27 00:00:00,2924.5,2936.25,2914.5,2929.25,181803.0,0.0,MyStrategy,47,737237.0,Broker,47,19936.14343578749,19937.14343578749,BuySell,47,,,Trades - Net Profit/Loss,47,,,TimeReturn,47,-0.00023819202601271794
48,,48,2019-06-28 00:00:00,2929.5,2952.0,2927.75,2950.5,158987.0,0.0,MyStrategy,48,737238.0,Broker,48,19914.89343578749,19915.89343578749,BuySell,48,,,Trades - Net Profit/Loss,48,,,TimeReturn,48,-0.0010658497827655822
49,,49,2019-06-30 00:00:00,2960.75,2974.0,2960.0,2966.25,16104.0,0.0,MyStrategy,49,737240.0,Broker,49,19905.40534756249,19906.40534756249,BuySell,49,2915.6,,Trades - Net Profit/Loss,49,,-45.2048060749997,TimeReturn,49,-0.00047640786267466595
50,,50,2019-07-01 00:00:00,2966.25,2979.0,2952.25,2967.75,200850.0,0.0,MyStrategy,50,737241.0,Broker,50,19906.90534756249,19907.90534756249,BuySell,50,,,Trades - Net Profit/Loss,50,,,TimeReturn,50,7.535263016156257e-05
51,,51,2019-07-02 00:00:00,2967.5,2982.0,2955.25,2972.75,188964.0,0.0,MyStrategy,51,737242.0,Broker,51,19911.90534756249,19912.90534756249,BuySell,51,,,Trades - Net Profit/Loss,51,,,TimeReturn,51,0.0002511565085681067
52,,52,2019-07-03 00:00:00,2972.75,3002.25,2970.75,2995.75,118314.0,0.0,MyStrategy,52,737243.0,Broker,52,19934.90534756249,19935.90534756249,BuySell,52,,,Trades - Net Profit/Loss,52,,,TimeReturn,52,0.001155029846150235
53,,53,2019-07-04 00:00:00,2995.75,3000.75,2994.0,2999.5,12423.0,0.0,MyStrategy,53,737244.0,Broker,53,19938.65534756249,19939.65534756249,BuySell,53,,,Trades - Net Profit/Loss,53,,,TimeReturn,53,0.0001881028192411982
54,,54,2019-07-05 00:00:00,2999.5,3000.75,2968.25,2988.25,192359.0,0.0,MyStrategy,54,737245.0,Broker,54,19927.40534756249,19928.40534756249,BuySell,54,,,Trades - Net Profit/Loss,54,,,TimeReturn,54,-0.000564202329674468
55,,55,2019-07-07 00:00:00,2988.0,2991.5,2980.75,2981.5,8337.0,0.0,MyStrategy,55,737247.0,Broker,55,19920.65534756249,19921.65534756249,BuySell,55,,,Trades - Net Profit/Loss,55,,,TimeReturn,55,-0.00033871250018635557
56,,56,2019-07-08 00:00:00,2981.5,2985.5,2961.5,2963.25,185618.0,0.0,MyStrategy,56,737248.0,Broker,56,19902.40534756249,19903.40534756249,BuySell,56,,,Trades - Net Profit/Loss,56,,,TimeReturn,56,-0.0009160885318816314
57,,57,2019-07-09 00:00:00,2963.25,2984.5,2960.25,2978.75,170734.0,0.0,MyStrategy,57,737249.0,Broker,57,19882.165036537488,19883.165036537488,BuySell,57,,3029.2675,Trades - Net Profit/Loss,57,,-2.239199624999534,TimeReturn,57,-0.0010169270369344563
58,,58,2019-07-10 00:00:00,2979.0,3004.25,2968.0,3002.0,242566.0,0.0,MyStrategy,58,737250.0,Broker,58,19858.915036537488,19859.915036537488,BuySell,58,,,Trades - Net Profit/Loss,58,,,TimeReturn,58,-0.0011693309368642213
59,,59,2019-07-11 00:00:00,3002.25,3009.25,2989.25,3007.75,212414.0,0.0,MyStrategy,59,737251.0,Broker,59,19859.36053586249,19860.36053586249,BuySell,59,2944.41125,,Trades - Net Profit/Loss,59,,-43.77240584999967,TimeReturn,59,2.2432086148604924e-05
60,,60,2019-07-12 00:00:00,3007.75,3014.5,3002.25,3011.0,132804.0,0.0,MyStrategy,60,737252.0,Broker,60,19862.61053586249,19863.61053586249,BuySell,60,,,Trades - Net Profit/Loss,60,,,TimeReturn,60,0.00016364254788481247
61,,61,2019-07-14 00:00:00,3012.75,3016.0,3007.75,3015.0,5640.0,0.0,MyStrategy,61,737254.0,Broker,61,19866.61053586249,19867.61053586249,BuySell,61,,,Trades - Net Profit/Loss,61,,,TimeReturn,61,0.0002013732595480544
62,,62,2019-07-15 00:00:00,3015.0,3020.75,3009.25,3016.5,131216.0,0.0,MyStrategy,62,737255.0,Broker,62,19868.11053586249,19869.11053586249,BuySell,62,,,Trades - Net Profit/Loss,62,,,TimeReturn,62,7.549976869603015e-05
63,,63,2019-07-16 00:00:00,3016.5,3018.5,2997.25,3005.0,167020.0,0.0,MyStrategy,63,737256.0,Broker,63,19856.61053586249,19857.61053586249,BuySell,63,,,Trades - Net Profit/Loss,63,,,TimeReturn,63,-0.0005787878616531072
64,,64,2019-07-17 00:00:00,3005.0,3009.75,2971.25,2975.5,171938.0,0.0,MyStrategy,64,737257.0,Broker,64,19881.303437362498,19882.303437362498,BuySell,64,,3054.89625,Trades - Net Profit/Loss,64,,-2.0557995874998287,TimeReturn,64,0.0012434981265954104
65,,65,2019-07-18 00:00:00,2975.5,3006.25,2972.0,3003.25,234661.0,0.0,MyStrategy,65,737258.0,Broker,65,19853.553437362498,19854.553437362498,BuySell,65,,,Trades - Net Profit/Loss,65,,,TimeReturn,65,-0.0013957135342704818
66,,66,2019-07-19 00:00:00,3003.25,3006.5,2966.0,2967.75,247004.0,0.0,MyStrategy,66,737259.0,Broker,66,19889.053437362498,19890.053437362498,BuySell,66,,,Trades - Net Profit/Loss,66,,,TimeReturn,66,0.0017880029441104117
67,,67,2019-07-21 00:00:00,2970.5,2977.25,2969.0,2973.25,9531.0,0.0,MyStrategy,67,737261.0,Broker,67,19883.553437362498,19884.553437362498,BuySell,67,,,Trades - Net Profit/Loss,67,,,TimeReturn,67,-0.00027652012184486985
68,,68,2019-07-22 00:00:00,2973.25,2991.75,2973.0,2988.5,183925.0,0.0,MyStrategy,68,737262.0,Broker,68,19868.303437362498,19869.303437362498,BuySell,68,,,Trades - Net Profit/Loss,68,,,TimeReturn,68,-0.0007669269540317991
69,,69,2019-07-23 00:00:00,2988.25,3005.5,2985.75,3004.25,208339.0,0.0,MyStrategy,69,737263.0,Broker,69,19852.553437362498,19853.553437362498,BuySell,69,,,Trades - Net Profit/Loss,69,,,TimeReturn,69,-0.0007926800277449075
70,,70,2019-07-24 00:00:00,3004.25,3019.5,2992.75,3019.0,192997.0,0.0,MyStrategy,70,737264.0,Broker,70,19862.495736087498,19863.495736087498,BuySell,70,2947.85875,,Trades - Net Profit/Loss,70,,-4.057399887500033,TimeReturn,70,0.0005007818250959417
71,,71,2019-07-25 00:00:00,3019.0,3024.5,2994.75,3010.5,294749.0,0.0,MyStrategy,71,737265.0,Broker,71,19853.995736087498,19854.995736087498,BuySell,71,,,Trades - Net Profit/Loss,71,,,TimeReturn,71,-0.0004279206496647925
72,,72,2019-07-26 00:00:00,3010.5,3026.25,3006.5,3019.5,165679.0,0.0,MyStrategy,72,737266.0,Broker,72,19862.995736087498,19863.995736087498,BuySell,72,,,Trades - Net Profit/Loss,72,,,TimeReturn,72,0.00045328642320696666
73,,73,2019-07-28 00:00:00,3019.0,3022.75,3016.75,3018.0,7702.0,0.0,MyStrategy,73,737268.0,Broker,73,19861.495736087498,19862.495736087498,BuySell,73,,,Trades - Net Profit/Loss,73,,,TimeReturn,73,-7.551350795320655e-05
74,,74,2019-07-29 00:00:00,3018.0,3024.25,3012.25,3022.0,177399.0,0.0,MyStrategy,74,737269.0,Broker,74,19865.495736087498,19866.495736087498,BuySell,74,,,Trades - Net Profit/Loss,74,,,TimeReturn,74,0.0002013845617967469
75,,75,2019-07-30 00:00:00,3022.0,3022.75,2998.25,3015.5,240646.0,0.0,MyStrategy,75,737270.0,Broker,75,19858.995736087498,19859.995736087498,BuySell,75,,,Trades - Net Profit/Loss,75,,,TimeReturn,75,-0.0003271840231084955
76,,76,2019-07-31 00:00:00,3015.5,3017.25,2954.5,2981.75,461654.0,0.0,MyStrategy,76,737271.0,Broker,76,19825.245736087498,19826.245736087498,BuySell,76,,,Trades - Net Profit/Loss,76,,,TimeReturn,76,-0.0016993961352506082
77,,77,2019-08-01 00:00:00,2981.5,3010.75,2935.5,2941.0,709567.0,0.0,MyStrategy,77,737272.0,Broker,77,19860.726230537497,19861.726230537497,BuySell,77,,3055.9112499999997,Trades - Net Profit/Loss,77,,-27.538603412499914,TimeReturn,77,0.0017895720108733748
78,,78,2019-08-02 00:00:00,2941.25,2957.75,2910.0,2931.75,528802.0,0.0,MyStrategy,78,737273.0,Broker,78,19869.976230537497,19870.976230537497,BuySell,78,,,Trades - Net Profit/Loss,78,,,TimeReturn,78,0.0004657198419026898
79,,79,2019-08-04 00:00:00,2927.5,2930.25,2890.75,2895.5,43354.0,0.0,MyStrategy,79,737275.0,Broker,79,19906.226230537497,19907.226230537497,BuySell,79,,,Trades - Net Profit/Loss,79,,,TimeReturn,79,0.0018242687012171022
80,,80,2019-08-05 00:00:00,2895.75,2902.5,2772.75,2836.75,750111.0,0.0,MyStrategy,80,737276.0,Broker,80,19964.976230537497,19965.976230537497,BuySell,80,,,Trades - Net Profit/Loss,80,,,TimeReturn,80,0.0029511896494087697
81,,81,2019-08-06 00:00:00,2836.75,2880.75,2828.25,2858.25,599971.0,0.0,MyStrategy,81,737277.0,Broker,81,19943.476230537497,19944.476230537497,BuySell,81,,,Trades - Net Profit/Loss,81,,,TimeReturn,81,-0.0010768318940055366
82,,82,2019-08-07 00:00:00,2858.5,2891.0,2819.75,2890.5,757996.0,0.0,MyStrategy,82,737278.0,Broker,82,19911.226230537497,19912.226230537497,BuySell,82,,,Trades - Net Profit/Loss,82,,,TimeReturn,82,-0.0016169890664072817
83,,83,2019-08-08 00:00:00,2890.75,2938.25,2878.0,2924.25,328347.0,0.0,MyStrategy,83,737279.0,Broker,83,19877.476230537497,19878.476230537497,BuySell,83,,,Trades - Net Profit/Loss,83,,,TimeReturn,83,-0.001694938557309067
84,,84,2019-08-09 00:00:00,2924.5,2932.0,2895.5,2920.0,437918.0,0.0,MyStrategy,84,737280.0,Broker,84,19868.046153187497,19869.046153187497,BuySell,84,2852.0675,,Trades - Net Profit/Loss,84,52.27520855000002,,TimeReturn,84,-0.00047438632823948446
85,,85,2019-08-11 00:00:00,2917.0,2924.75,2909.75,2921.75,21120.0,0.0,MyStrategy,85,737282.0,Broker,85,19869.796153187497,19870.796153187497,BuySell,85,,,Trades - Net Profit/Loss,85,,,TimeReturn,85,8.807669912824778e-05
86,,86,2019-08-12 00:00:00,2921.75,2927.5,2869.25,2881.5,440428.0,0.0,MyStrategy,86,737283.0,Broker,86,19829.546153187497,19830.546153187497,BuySell,86,,,Trades - Net Profit/Loss,86,,,TimeReturn,86,-0.002025585673050334
87,,87,2019-08-13 00:00:00,2881.5,2941.0,2863.5,2923.75,465633.0,0.0,MyStrategy,87,737284.0,Broker,87,19782.686617637497,19783.686617637497,BuySell,87,,2985.115,Trades - Net Profit/Loss,87,,-47.64480644999979,TimeReturn,87,-0.0023629977302701555
88,,88,2019-08-14 00:00:00,2924.0,2930.25,2830.25,2844.5,588127.0,0.0,MyStrategy,88,737285.0,Broker,88,19698.2573404375,19699.2573404375,BuySell,88,2787.79625,,Trades - Net Profit/Loss,88,,-47.14440637499974,TimeReturn,88,-0.004267621037058245
89,,89,2019-08-15 00:00:00,2844.75,2868.5,2814.5,2864.0,711145.0,0.0,MyStrategy,89,737286.0,Broker,89,19674.706593862502,19675.706593862502,BuySell,89,,2911.5274999999997,Trades - Net Profit/Loss,89,,-83.86501188749963,TimeReturn,89,-0.0011955144383364313
90,,90,2019-08-16 00:00:00,2863.75,2891.5,2858.0,2888.25,284656.0,0.0,MyStrategy,90,737287.0,Broker,90,19650.456593862502,19651.456593862502,BuySell,90,,,Trades - Net Profit/Loss,90,,,TimeReturn,90,-0.001232484327021055
91,,91,2019-08-18 00:00:00,2889.75,2904.25,2889.0,2902.75,15421.0,0.0,MyStrategy,91,737289.0,Broker,91,19635.956593862502,19636.956593862502,BuySell,91,,,Trades - Net Profit/Loss,91,,,TimeReturn,91,-0.0007378587908098977
92,,92,2019-08-19 00:00:00,2902.75,2929.0,2902.25,2923.75,211565.0,0.0,MyStrategy,92,737290.0,Broker,92,19652.311323037502,19653.311323037502,BuySell,92,2858.71625,,Trades - Net Profit/Loss,92,,-62.59800869999929,TimeReturn,92,0.0008328545768703233
93,,93,2019-08-20 00:00:00,2923.75,2929.5,2889.75,2902.75,243133.0,0.0,MyStrategy,93,737291.0,Broker,93,19631.311323037502,19632.311323037502,BuySell,93,,,Trades - Net Profit/Loss,93,,,TimeReturn,93,-0.0010685222278743467
94,,94,2019-08-21 00:00:00,2902.75,2935.75,2901.0,2923.25,192994.0,0.0,MyStrategy,94,737292.0,Broker,94,19651.811323037502,19652.811323037502,BuySell,94,,,Trades - Net Profit/Loss,94,,,TimeReturn,94,0.0010441969701215914
95,,95,2019-08-22 00:00:00,2923.0,2936.5,2900.75,2928.5,261092.0,0.0,MyStrategy,95,737293.0,Broker,95,19657.061323037502,19658.061323037502,BuySell,95,,,Trades - Net Profit/Loss,95,,,TimeReturn,95,0.00026713735321148846
96,,96,2019-08-23 00:00:00,2928.75,2933.5,2830.75,2847.75,486008.0,0.0,MyStrategy,96,737294.0,Broker,96,19576.311323037502,19577.311323037502,BuySell,96,,,Trades - Net Profit/Loss,96,,,TimeReturn,96,-0.004107729580910768
97,,97,2019-08-25 00:00:00,2830.5,2840.0,2806.75,2837.25,45873.0,0.0,MyStrategy,97,737296.0,Broker,97,19547.783372187507,19548.783372187507,BuySell,97,,2882.6,Trades - Net Profit/Loss,97,,-76.83661083749966,TimeReturn,97,-0.0014571945237661366
98,,98,2019-08-26 00:00:00,2837.5,2885.0,2825.5,2879.5,333177.0,0.0,MyStrategy,98,737297.0,Broker,98,19505.533372187507,19506.533372187507,BuySell,98,,,Trades - Net Profit/Loss,98,,,TimeReturn,98,-0.002161259818353245
99,,99,2019-08-27 00:00:00,2879.5,2896.25,2856.75,2872.25,300106.0,0.0,MyStrategy,99,737298.0,Broker,99,19512.783372187507,19513.783372187507,BuySell,99,,,Trades - Net Profit/Loss,99,,,TimeReturn,99,0.0003716703456051462
100,,100,2019-08-28 00:00:00,2872.25,2887.75,2848.5,2876.75,271335.0,0.0,MyStrategy,100,737299.0,Broker,100,19508.283372187507,19509.283372187507,BuySell,100,,,Trades - Net Profit/Loss,100,,,TimeReturn,100,-0.00023060622915460627
101,,101,2019-08-29 00:00:00,2876.5,2931.25,2876.25,2930.0,255760.0,0.0,MyStrategy,101,737300.0,Broker,101,19455.033372187507,19456.033372187507,BuySell,101,,,Trades - Net Profit/Loss,101,,,TimeReturn,101,-0.002729469811070251
102,,102,2019-08-30 00:00:00,2930.0,2943.25,2910.0,2920.0,241197.0,0.0,MyStrategy,102,737301.0,Broker,102,19440.344493187506,19441.344493187506,BuySell,102,2866.35,,Trades - Net Profit/Loss,102,,-104.1084149249997,TimeReturn,102,-0.0007549780944042794
103,,103,2019-09-01 00:00:00,2910.25,2912.5,2891.75,2908.75,18233.0,0.0,MyStrategy,103,737303.0,Broker,103,19429.094493187506,19430.094493187506,BuySell,103,,,Trades - Net Profit/Loss,103,,,TimeReturn,103,-0.0005786636826451419
104,,104,2019-09-02 00:00:00,2909.0,2923.25,2885.75,2905.25,72974.0,0.0,MyStrategy,104,737304.0,Broker,104,19425.594493187506,19426.594493187506,BuySell,104,,,Trades - Net Profit/Loss,104,,,TimeReturn,104,-0.00018013293765639649
